Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,6e5,fa06d4,fffe74cd00
1,1,0,6e6,ff258c,fffbef2700
2,2,0,6e7,fa06d4,fff7c45b00
3,3,0,6e8,e740db,fff39fa000
4,4,0,6e9,e58bf3,fff0f18200
5,5,0,6ea,e8f5c3,fff07d0d00
6,6,0,6eb,f33333,fff2330600
7,7,0,6ec,fc9630,fff5454200
8,8,0,6ed,028f5c,fff8895500
9,9,0,6ee,fd70a4,fffae47700
10,10,0,6ef,fa06d4,fffbada200
11,11,0,6f0,fd70a4,fffadc3700
12,12,0,6f1,f258bf,fff8f35000
13,13,0,6f2,ee147b,fff6c9e700
14,14,0,6f3,ed3a07,fff52e9b00
15,15,0,6f4,ed3a07,fff4a55800
16,16,0,6f5,efc963,fff5375a00
17,17,0,6f6,044444,fff6891400
18,18,0,6f7,06d3a0,fff8020800
19,19,0,6f8,07ae14,fff91d7200
20,20,0,6f9,fe4b18,fff98ee000
21,21,0,6fa,ff258c,fff96ef500
22,22,0,6fb,eeeeef,fff910be00
23,23,0,6fc,f40da7,fff8ebf800
24,24,0,6fd,f17e4b,fff94fd700
25,25,0,6fe,f5c28f,fffa556000
26,26,0,6ff,f258bf,fffbba6400
27,27,0,700,ff258c,fffd0e7e00
28,28,0,701,05f92c,fffdd22400
29,29,0,702,088888,fffdb7aa00
30,30,0,703,01b4e8,fffcba8200
31,31,0,704,fa06d4,fffb2dd200
32,32,0,705,efc963,fff998da00
33,33,0,706,f258bf,fff88cbe00
34,34,0,707,efc963,fff863e400
35,35,0,708,f851ec,fff92e7e00
36,36,0,709,fa06d4,fffa9fff00
37,37,0,70a,051eb8,fffc3dcc00
38,38,0,70b,0a3d71,fffd813b00
39,39,0,70c,044444,fffe0cda00
40,40,0,70d,051eb8,fffdcd6700
41,41,0,70e,028f5c,fffcfeb000
42,42,0,70f,f40da7,fffc117e00
43,43,0,710,f17e4b,fffb7fc000
44,44,0,711,fa06d4,fffba0ab00
45,45,0,712,fc9630,fffc8afd00
46,46,0,713,fc9630,fffe07f700
47,47,0,714,0369d0,ffffa8a200
48,48,0,715,10369d,0000f7cc00
