Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,3cd,e3d70a,fff1808400
1,1,0,3ce,e8f5c3,fff2b1e800
2,2,0,3cf,ec5f93,fff3664300
3,3,0,3d0,e3d70a,fff377f400
4,4,0,3d1,eb851f,fff2eda300
5,5,0,3d2,f5c28f,fff1f28b00
6,6,0,3d3,fd70a4,fff0d23c00
7,7,0,3d4,fae148,ffefd82d00
8,8,0,3d5,f5c28f,ffef431600
9,9,0,3d6,e81b4f,ffef2df200
10,10,0,3d7,e58bf3,ffef916200
11,11,0,3d8,df92c6,fff039cc00
12,12,0,3d9,e3d70a,fff0e43800
13,13,0,3da,e2fc96,fff1455000
14,14,0,3db,eeeeef,fff1322700
15,15,0,3dc,efc963,fff09bda00
16,16,0,3dd,efc963,ffef9b7400
17,17,0,3de,f40da7,ffee604500
18,18,0,3df,f77778,ffed2ad000
19,19,0,3e0,f77778,ffec3fa100
20,20,0,3e1,f4e81b,ffebdc0a00
21,21,0,3e2,f0a3d7,ffec2ded00
22,22,0,3e3,07ae14,ffed635800
23,23,0,3e4,1c28f6,ffefa4ca00
24,24,0,3e5,2eeeef,fff324b900
25,25,0,3e6,428f5c,fff8160500
26,26,0,3e7,5a740d,fffeb43c00
27,27,0,3e8,6fc962,000747db00
28,28,0,3e9,7c962f,00120c4400
29,29,0,3ea,74e81a,001f05a900
30,30,0,3eb,717e4a,002de6f400
31,31,0,3ec,6d3a06,003dfa1d00
32,32,0,3ed,622221,004e233e00
33,33,0,3ee,50369c,005bbf8900
34,34,0,3ef,4b17e4,004f160b00
35,35,0,3f0,3d70a3,0043ee0400
36,36,0,3f1,28f5c2,003f7b8f00
37,37,0,3f2,0e81b5,0041408800
38,38,0,3f3,f851ec,0046a1a900
39,39,0,3f4,df92c6,004bd55d00
40,40,0,3f5,d2c5fa,004d0e7f00
41,41,0,3f6,d11111,0047808f00
42,42,0,3f7,d70a3e,003a16fd00
43,43,0,3f8,e147ae,0025ab2f00
44,44,0,3f9,efc963,000cc70500
45,45,0,3fa,f5c28f,fff2ffed00
46,46,0,3fb,f5c28f,ffdc234f00
47,47,0,3fc,fe4b18,ffcb6a8600
48,48,0,3fd,fbbbbc,ffc2d70200
49,49,0,3fe,f0a3d7,ffc2e09600
50,50,0,3ff,ee147b,ffca760100
51,51,0,400,eb851f,ffd74cea00
52,52,0,401,eb851f,ffe6695500
53,53,0,402,f0a3d7,fff4b52800
54,54,0,403,fae148,ffff9e9700
55,55,0,404,fc9630,0005894000
56,56,0,405,00da74,000611d400
57,57,0,406,f77778,0001fb7200
58,58,0,407,efc963,fffaf3ca00
59,59,0,408,efc963,fff31be200
60,60,0,409,e81b4f,ffec837c00
61,61,0,40a,ec5f93,ffe8b9ff00
62,62,0,40b,eeeeef,ffe874ab00
63,63,0,40c,f258bf,ffeb7f8200
64,64,0,40d,ff258c,fff0dbbe00
65,65,0,40e,028f5c,fff70d3800
66,66,0,40f,0369d0,fffc893a00
67,67,0,410,fae148,0000105700
68,68,0,411,f92c60,0001052d00
